txn_id,timestamp,sender_id,receiver_id,amount,currency,txn_type,channel,sender_country,receiver_country,is_cross_border,label_is_laundering,pattern_label
T-000040,2025-03-07 01:23:00.000000,C-N0115,C-N0171,9617.98,USD,transfer,mobile,DE,FR,True,,
T-000041,2025-03-13 21:41:00.000000,C-N0190,C-N0133,860.18,USD,transfer,mobile,AU,FR,True,,
T-000042,2025-03-26 21:58:00.000000,C-N0168,C-N0086,12839.85,USD,transfer,mobile,FR,FR,False,,
T-000043,2025-02-04 19:22:00.000000,C-N0193,C-N0184,189.98,USD,deposit,branch,CA,SG,True,,
T-000044,2025-01-11 17:54:00.000000,C-N0040,C-N0191,13161.02,USD,deposit,branch,JP,GB,True,,
T-000045,2025-03-22 21:48:00.000000,C-N0158,C-N0187,11712.74,USD,deposit,atm,GB,AU,True,,
T-000046,2025-02-25 07:35:00.000000,C-N0152,C-N0189,6266.89,USD,withdrawal,branch,SG,AU,True,,
T-000047,2025-03-31 07:41:00.000000,C-N0079,C-N0162,1913.09,USD,transfer,online,GB,FR,True,,
T-000048,2025-01-15 13:33:00.000000,C-SMF11,C-N0135,5131.76,USD,transfer,mobile,SG,SG,False,,
T-000049,2025-02-24 04:21:00.000000,C-N0081,C-N0186,7248.67,USD,deposit,online,AU,GB,True,,
T-000050,2025-01-17 07:56:00.000000,C-N0031,C-N0167,6221.7,USD,deposit,atm,AU,DE,True,,
T-000051,2025-03-31 12:23:00.000000,C-N0167,C-N0196,6479.55,USD,transfer,online,GB,CA,True,,
T-000052,2025-01-30 16:15:00.000000,C-STR06,C-N0094,9349.02,USD,cash,branch,US,US,False,True,structuring
T-000053,2025-02-05 19:12:00.000000,C-N0007,C-N0010,7188.63,USD,transfer,online,JP,SG,True,,
T-000054,2025-02-15 14:19:12.958124,C-HUB01,C-SMF03,9052.63,USD,transfer,online,US,US,False,True,smurfing
T-000055,2025-01-11 00:41:00.000000,C-N0031,C-N0006,9293.76,USD,transfer,online,CA,CA,False,,
T-000056,2025-03-05 15:01:00.000000,C-N0119,C-N0148,1765.91,USD,transfer,mobile,CA,JP,True,,
T-000057,2025-03-19 20:56:00.000000,C-N0025,C-N0063,14434.17,USD,transfer,online,FR,FR,False,,
T-000058,2025-01-01 14:37:00.000000,C-N0070,C-N0156,6487.71,USD,transfer,mobile,SG,AU,True,,
T-000059,2025-01-13 15:59:00.000000,C-N0166,C-N0024,10441.3,USD,withdrawal,atm,DE,DE,False,,
T-000060,2025-02-18 11:46:00.000000,C-STR09,C-N0091,9212.42,USD,transfer,atm,US,US,False,True,structuring
T-000061,2025-03-27 11:55:00.000000,C-N0051,C-SMF22,3140.72,USD,withdrawal,branch,CA,SG,True,,
T-000062,2025-03-05 01:49:00.000000,C-RCO05,C-HUB02,1168.72,USD,transfer,online,DE,JP,True,,
T-000063,2025-03-18 17:32:00.000000,C-LAY08,C-N0157,5015.72,USD,withdrawal,branch,DE,DE,False,,
T-000064,2025-01-19 00:23:00.000000,C-N0033,C-N0065,5688.49,USD,withdrawal,atm,GB,US,True,,
T-000065,2025-03-10 11:44:00.000000,C-N0134,C-N0056,7797.47,USD,transfer,mobile,CA,DE,True,,
T-000066,2025-02-26 06:52:00.000000,C-N0186,C-LAY19,13218.66,USD,deposit,branch,FR,SG,True,,
T-000067,2025-03-20 13:04:00.000000,C-LAY15,C-N0053,14484.19,USD,transfer,mobile,AU,DE,True,,
T-000068,2025-01-21 18:32:00.000000,C-N0083,C-LAY09,10796.67,USD,transfer,online,US,SG,True,,
T-000069,2025-02-15 07:15:00.000000,C-N0052,C-SMF15,11664.36,USD,deposit,online,CA,CA,False,,
T-000070,2025-01-25 23:15:00.000000,C-N0061,C-N0002,1012.92,USD,withdrawal,atm,US,FR,True,,
T-000071,2025-01-12 23:04:00.000000,C-N0166,C-SMF18,13044.15,USD,transfer,mobile,DE,US,True,,
T-000072,2025-01-29 14:24:00.000000,C-SMF03,C-SMF10,749.54,USD,transfer,online,SG,SG,False,,
T-000073,2025-03-29 21:04:00.000000,C-SMF23,C-N0013,10573.34,USD,transfer,online,AU,SG,True,,
T-000074,2025-02-16 06:38:00.000000,C-LAY22,C-N0147,3853.18,USD,deposit,atm,FR,FR,False,,
T-000075,2025-02-03 19:08:00.000000,C-HUB02,C-N0103,2216.87,USD,withdrawal,branch,US,JP,True,,
T-000076,2025-03-08 15:54:00.000000,C-STR10,C-SMF18,2326.23,USD,transfer,online,DE,GB,True,,
T-000077,2025-03-31 08:39:00.000000,C-N0077,C-N0057,9062.05,USD,withdrawal,branch,GB,AU,True,,
T-000078,2025-03-30 16:04:00.000000,C-N0186,C-N0102,5005.96,USD,transfer,mobile,DE,AU,True,,
T-000079,2025-01-17 16:15:00.000000,C-N0037,C-N0175,9296.26,USD,transfer,mobile,AU,AU,False,,
T-000080,2025-02-07 09:33:00.000000,C-N0191,C-N0174,8939.99,USD,deposit,atm,DE,GB,True,,
T-000081,2025-01-21 02:52:00.000000,C-SMF11,C-N0120,11121.69,USD,deposit,atm,GB,AU,True,,
T-000082,2025-01-01 22:59:00.000000,C-N0041,C-LAY01,5728.45,USD,withdrawal,atm,DE,US,True,,
T-000083,2025-02-23 22:36:00.000000,C-RCO03,C-STR08,9117.56,USD,deposit,online,CA,SG,True,,
T-000084,2025-01-26 14:50:00.000000,C-N0191,C-N0007,11135.84,USD,transfer,online,CA,SG,True,,
T-000085,2025-02-25 10:51:00.000000,C-N0064,C-N0009,9362.45,USD,transfer,mobile,JP,FR,True,,
T-000086,2025-02-19 18:58:00.000000,C-N0003,C-N0025,1598.13,USD,transfer,online,DE,DE,False,,
T-000087,2025-03-29 22:42:00.000000,C-N0038,C-N0167,6602.0,USD,transfer,mobile,CA,GB,True,,
T-000088,2025-02-22 23:01:00.000000,C-N0011,C-N0118,12901.55,USD,deposit,branch,GB,US,True,,
T-000089,2025-02-12 14:55:00.000000,C-N0127,C-N0056,11473.27,USD,transfer,online,GB,SG,True,,
T-000090,2025-03-17 14:07:00.000000,C-N0143,C-N0074,2711.29,USD,transfer,online,JP,AU,True,,
T-000091,2025-02-28 03:10:00.000000,C-SMF14,C-N0143,2926.78,USD,withdrawal,atm,GB,GB,False,,
T-000092,2025-01-13 00:00:00.000000,C-N0063,C-SMF21,13463.26,USD,transfer,mobile,JP,SG,True,,
T-000093,2025-01-19 14:17:00.000000,C-STR04,C-N0160,9652.75,USD,transfer,atm,US,US,False,True,structuring
T-000094,2025-03-16 07:07:00.000000,C-N0183,C-N0125,8042.6,USD,transfer,online,CA,FR,True,,
T-000095,2025-01-13 07:06:00.000000,C-N0036,C-N0094,2857.45,USD,deposit,online,FR,SG,True,,
T-000096,2025-01-08 09:39:00.000000,C-N0148,C-N0021,10321.35,USD,transfer,mobile,SG,FR,True,,
T-000097,2025-02-19 19:36:00.000000,C-N0192,C-N0006,4605.13,USD,withdrawal,atm,JP,GB,True,,
T-000098,2025-03-12 18:25:00.000000,C-N0118,C-SMF17,9102.91,USD,withdrawal,atm,JP,DE,True,,
T-000099,2025-01-28 19:12:00.000000,C-N0018,C-N0164,10576.9,USD,deposit,atm,SG,FR,True,,
T-000100,2025-03-26 02:41:00.000000,C-N0033,C-N0031,11546.13,USD,deposit,atm,JP,DE,True,,
T-000101,2025-01-24 15:42:00.000000,C-LAY23,C-SMF18,12803.24,USD,deposit,online,US,DE,True,,
T-000102,2025-01-09 12:36:00.000000,C-SMF19,C-N0128,2004.19,USD,deposit,branch,US,CA,True,,
T-000103,2025-01-05 21:38:00.000000,C-SMF04,C-N0142,10661.89,USD,transfer,mobile,GB,SG,True,,
T-000104,2025-01-27 22:26:00.000000,C-STR04,C-N0040,11867.95,USD,withdrawal,branch,JP,DE,True,,
T-000105,2025-03-22 23:56:00.000000,C-N0189,C-N0102,14815.55,USD,deposit,atm,AU,US,True,,
T-000106,2025-03-14 12:07:00.000000,C-N0160,C-N0004,7821.35,USD,withdrawal,atm,DE,GB,True,,
T-000107,2025-02-23 11:03:00.000000,C-N0088,C-N0005,1685.32,USD,transfer,mobile,CA,SG,True,,
T-000108,2025-01-09 02:49:00.000000,C-N0005,C-N0120,11796.59,USD,deposit,atm,JP,FR,True,,
T-000109,2025-03-18 06:48:00.000000,C-N0165,C-N0136,603.21,USD,transfer,mobile,US,SG,True,,
T-000110,2025-03-04 23:25:00.000000,C-LAY03,C-N0156,13346.87,USD,transfer,mobile,GB,US,True,,
T-000111,2025-02-04 17:41:00.000000,C-N0013,C-N0106,6198.78,USD,withdrawal,atm,CA,DE,True,,
T-000112,2025-02-16 02:21:00.000000,C-N0097,C-HUB03,138863.76,USD,wire,wire,US,US,False,True,smurfing
T-000113,2025-01-19 12:56:00.000000,C-STR04,C-N0082,1651.74,USD,withdrawal,atm,AU,AU,False,,
T-000114,2025-01-12 22:37:00.000000,C-LAY08,C-N0040,12265.78,USD,withdrawal,branch,US,AU,True,,
T-000115,2025-02-15 00:34:00.000000,C-N0195,C-N0118,6923.33,USD,transfer,online,JP,US,True,,
T-000116,2025-02-23 03:05:00.000000,C-N0102,C-LAY01,13625.73,USD,deposit,atm,GB,JP,True,,
T-000117,2025-03-11 19:50:00.000000,C-N0089,C-N0193,223.46,USD,deposit,atm,SG,AU,True,,
T-000118,2025-03-03 14:58:00.000000,C-N0126,C-N0079,7088.47,USD,transfer,online,AU,GB,True,,
T-000119,2025-02-09 06:54:00.000000,C-N0058,C-LAY21,2553.82,USD,transfer,mobile,SG,SG,False,,
T-000120,2025-02-19 20:50:00.000000,C-STR03,C-N0186,9163.53,USD,transfer,atm,US,US,False,True,structuring
T-000121,2025-01-19 08:41:00.000000,C-LAY11,C-LAY01,11421.94,USD,withdrawal,branch,JP,DE,True,,
T-000122,2025-03-25 17:15:00.000000,C-N0037,C-N0007,5445.84,USD,withdrawal,branch,SG,US,True,,
T-000123,2025-02-13 19:12:00.000000,C-SMF04,C-N0096,2847.12,USD,withdrawal,atm,FR,DE,True,,
T-000124,2025-02-21 08:48:00.000000,C-N0109,C-N0057,6301.79,USD,withdrawal,branch,AU,CA,True,,
T-000125,2025-01-30 18:00:00.000000,C-N0131,C-N0003,7383.74,USD,withdrawal,atm,US,FR,True,,
T-000126,2025-02-08 20:17:00.000000,C-N0045,C-N0068,14667.78,USD,transfer,mobile,US,FR,True,,
T-000127,2025-03-14 13:22:00.000000,C-RCO05,C-N0143,4955.9,USD,withdrawal,atm,SG,FR,True,,
T-000128,2025-03-16 16:07:00.000000,C-N0106,C-N0126,12936.52,USD,transfer,mobile,US,SG,True,,
T-000129,2025-03-18 17:28:00.000000,C-STR05,C-N0138,9930.35,USD,transfer,branch,US,US,False,True,structuring
T-000130,2025-01-19 18:54:00.000000,C-N0129,C-N0160,12345.5,USD,deposit,branch,DE,SG,True,,
T-000131,2025-02-28 16:46:00.000000,C-N0189,C-N0147,2142.16,USD,transfer,online,GB,GB,False,,
T-000132,2025-03-19 16:26:00.000000,C-N0104,C-SMF19,14035.71,USD,transfer,mobile,JP,DE,True,,
T-000133,2025-02-24 11:53:17.839829,C-RCO04,C-N0157,8808.44,USD,cash,atm,US,US,False,True,rapid_cashout
T-000134,2025-02-26 15:48:00.000000,C-N0083,C-N0069,13840.58,USD,deposit,online,DE,FR,True,,
T-000135,2025-02-17 22:43:00.000000,C-N0037,C-N0155,14609.68,USD,transfer,online,CA,DE,True,,
T-000136,2025-02-14 20:31:00.000000,C-SMF14,C-LAY23,12736.5,USD,deposit,branch,DE,GB,True,,
T-000137,2025-01-27 10:12:00.000000,C-N0110,C-N0019,9922.04,USD,withdrawal,branch,CA,US,True,,
T-000138,2025-01-17 02:07:00.000000,C-STR08,C-N0002,9023.38,USD,transfer,branch,US,US,False,True,structuring
T-000139,2025-01-10 01:10:00.000000,C-N0170,C-LAY05,9775.55,USD,withdrawal,atm,SG,SG,False,,
T-000140,2025-02-13 21:37:00.000000,C-LAY04,C-LAY25,8014.45,USD,withdrawal,branch,SG,AU,True,,
T-000141,2025-03-12 03:06:00.000000,C-N0177,C-N0066,2171.09,USD,transfer,online,SG,GB,True,,
T-000142,2025-03-05 00:41:00.000000,C-SMF21,C-N0178,13504.47,USD,transfer,mobile,CA,DE,True,,
T-000143,2025-03-28 14:50:00.000000,C-LAY23,C-SMF22,3567.45,USD,deposit,online,AU,DE,True,,
T-000144,2025-03-26 09:41:00.000000,C-N0080,C-N0173,5517.12,USD,transfer,online,AU,CA,True,,
T-000145,2025-01-18 11:04:00.000000,C-N0015,C-N0090,7248.36,USD,transfer,mobile,US,DE,True,,
T-000146,2025-01-31 08:32:00.000000,C-N0173,C-LAY25,11824.74,USD,transfer,mobile,AU,AU,False,,
T-000147,2025-03-07 21:59:00.000000,C-N0179,C-N0166,4470.31,USD,transfer,online,DE,SG,True,,
T-000148,2025-03-17 04:22:00.000000,C-N0009,C-N0149,6816.61,USD,withdrawal,atm,FR,AU,True,,
T-000149,2025-03-06 10:39:00.000000,C-N0070,C-N0033,13292.57,USD,transfer,online,US,CA,True,,
T-000150,2025-03-21 18:44:00.000000,C-N0053,C-LAY25,6435.67,USD,transfer,online,US,CA,True,,
T-000151,2025-03-24 06:36:00.000000,C-N0157,C-N0052,11360.64,USD,deposit,online,SG,DE,True,,
T-000152,2025-02-09 05:38:00.000000,C-N0035,C-N0124,11539.81,USD,transfer,mobile,US,CA,True,,
T-000153,2025-03-10 20:00:00.000000,C-LAY19,C-N0143,14813.47,USD,transfer,mobile,SG,JP,True,,
T-000154,2025-03-13 17:16:00.000000,C-N0053,C-N0065,89.93,USD,transfer,mobile,CA,DE,True,,
T-000155,2025-01-02 21:20:00.000000,C-N0135,C-N0052,6870.24,USD,withdrawal,atm,CA,FR,True,,
T-000156,2025-02-17 23:50:30.627723,C-HUB03,C-SMF22,8008.83,USD,transfer,online,US,US,False,True,smurfing
T-000157,2025-02-02 01:19:00.000000,C-N0002,C-N0168,14780.0,USD,transfer,mobile,AU,SG,True,,
T-000158,2025-01-25 10:54:00.000000,C-N0147,C-N0121,5776.38,USD,transfer,online,DE,CA,True,,
T-000159,2025-01-26 01:46:00.000000,C-STR05,C-N0169,1774.36,USD,deposit,atm,AU,US,True,,
T-000160,2025-01-30 11:47:00.000000,C-N0151,C-N0077,10923.11,USD,deposit,online,SG,CA,True,,
T-000161,2025-02-03 04:08:00.000000,C-N0064,C-SMF20,7098.58,USD,transfer,mobile,GB,CA,True,,
T-000162,2025-02-22 06:58:00.000000,C-N0108,C-N0195,4077.65,USD,transfer,online,FR,CA,True,,
T-000163,2025-02-07 06:38:00.000000,C-LAY12,C-SMF14,4284.53,USD,withdrawal,atm,JP,GB,True,,
T-000164,2025-02-05 16:09:00.000000,C-LAY15,C-N0054,11134.41,USD,deposit,branch,JP,GB,True,,
T-000165,2025-03-05 10:07:00.000000,C-SMF15,C-N0142,5495.12,USD,transfer,mobile,AU,GB,True,,
T-000166,2025-01-15 15:54:00.000000,C-N0011,C-N0159,6424.61,USD,withdrawal,atm,DE,GB,True,,
T-000167,2025-01-26 06:26:00.000000,C-N0186,C-N0019,8558.08,USD,withdrawal,atm,GB,FR,True,,
T-000168,2025-02-03 03:28:00.000000,C-N0125,C-LAY01,407.46,USD,transfer,online,US,JP,True,,
T-000169,2025-01-24 05:17:00.000000,C-SMF13,C-N0093,2246.18,USD,transfer,online,CA,DE,True,,
T-000170,2025-01-07 21:18:00.000000,C-N0063,C-N0189,3828.86,USD,deposit,online,SG,DE,True,,
T-000171,2025-03-20 11:04:00.000000,C-N0033,C-N0012,7317.92,USD,withdrawal,branch,AU,AU,False,,
T-000172,2025-03-12 17:14:00.000000,C-N0108,C-SMF08,11916.34,USD,transfer,mobile,CA,SG,True,,
T-000173,2025-01-08 02:40:00.000000,C-N0137,C-STR04,9823.35,USD,transfer,online,FR,GB,True,,
T-000174,2025-02-24 00:53:00.000000,C-N0027,C-N0148,12716.76,USD,transfer,online,SG,CA,True,,
T-000175,2025-02-24 20:57:00.000000,C-N0115,C-N0071,2538.56,USD,deposit,online,AU,CA,True,,
T-000176,2025-03-02 21:06:00.000000,C-N0175,C-LAY01,1233.79,USD,withdrawal,atm,SG,JP,True,,
T-000177,2025-03-04 09:58:00.000000,C-N0146,C-SMF01,7870.15,USD,transfer,online,DE,FR,True,,
T-000178,2025-02-13 19:51:00.000000,C-N0184,C-N0157,3985.36,USD,deposit,branch,DE,CA,True,,
T-000179,2025-01-14 15:05:00.000000,C-N0161,C-SMF02,8435.26,USD,withdrawal,branch,DE,CA,True,,
T-000180,2025-03-03 02:46:00.000000,C-N0017,C-N0079,6000.61,USD,transfer,online,DE,AU,True,,
T-000181,2025-03-22 13:06:00.000000,C-N0028,C-N0048,14132.03,USD,transfer,online,CA,AU,True,,
T-000182,2025-02-19 06:34:00.000000,C-N0111,C-N0035,5008.9,USD,transfer,mobile,DE,FR,True,,
T-000183,2025-01-13 15:24:00.000000,C-STR01,C-N0100,9945.99,USD,cash,branch,US,US,False,True,structuring
T-000184,2025-03-14 12:49:00.000000,C-N0051,C-N0045,11261.66,USD,deposit,branch,GB,SG,True,,
T-000185,2025-01-22 21:38:00.000000,C-LAY10,C-N0124,2445.52,USD,withdrawal,atm,JP,US,True,,
T-000186,2025-01-09 17:29:00.000000,C-LAY09,C-N0103,4659.88,USD,withdrawal,branch,SG,GB,True,,
T-000187,2025-02-15 08:24:00.000000,C-N0029,C-N0072,13150.06,USD,transfer,mobile,CA,FR,True,,
T-000188,2025-03-01 11:54:00.000000,C-LAY21,C-RCO01,14898.45,USD,transfer,online,US,FR,True,,
T-000189,2025-03-10 21:20:00.000000,C-N0075,C-N0016,11697.66,USD,transfer,mobile,FR,DE,True,,
T-000190,2025-01-05 03:37:00.000000,C-N0070,C-STR09,10022.03,USD,withdrawal,branch,US,GB,True,,
T-000191,2025-02-05 21:49:00.000000,C-N0103,C-N0160,1007.19,USD,transfer,online,CA,CA,False,,
T-000192,2025-02-19 19:06:00.000000,C-N0030,C-N0056,14406.56,USD,transfer,mobile,FR,DE,True,,
T-000193,2025-02-01 06:46:00.000000,C-N0164,C-N0059,10323.97,USD,transfer,mobile,SG,JP,True,,
T-000194,2025-02-13 10:19:00.000000,C-N0192,C-N0173,6417.12,USD,transfer,online,GB,JP,True,,
T-000195,2025-02-24 09:44:00.000000,C-N0044,C-N0023,13402.11,USD,withdrawal,branch,JP,DE,True,,
T-000196,2025-01-10 22:59:00.000000,C-N0161,C-N0026,3733.63,USD,withdrawal,atm,SG,AU,True,,
T-000197,2025-02-13 21:10:00.000000,C-N0058,C-N0094,1030.11,USD,transfer,mobile,DE,DE,False,,
T-000198,2025-01-09 17:46:00.000000,C-N0111,C-RCO04,8571.91,USD,withdrawal,branch,CA,CA,False,,
T-000199,2025-02-25 10:53:00.000000,C-SMF07,C-N0085,4888.62,USD,withdrawal,atm,FR,DE,True,,
T-000200,2025-01-13 00:09:00.000000,C-N0054,C-N0171,9494.45,USD,transfer,online,SG,SG,False,,
T-000201,2025-03-10 23:18:00.000000,C-N0167,C-N0088,772.75,USD,deposit,online,DE,DE,False,,
T-000202,2025-02-11 04:16:00.000000,C-N0028,C-N0156,13463.41,USD,withdrawal,atm,SG,FR,True,,
T-000203,2025-03-21 23:57:00.000000,C-STR02,C-N0135,9272.41,USD,cash,branch,US,US,False,True,structuring
T-000204,2025-02-24 04:40:00.000000,C-STR03,C-N0186,9621.14,USD,cash,branch,US,US,False,True,structuring
T-000205,2025-01-25 05:49:00.000000,C-HUB01,C-N0148,14668.35,USD,deposit,online,SG,US,True,,
T-000206,2025-03-22 14:51:00.000000,C-N0113,C-N0016,1547.01,USD,transfer,mobile,CA,DE,True,,
T-000207,2025-03-12 12:40:00.000000,C-N0051,C-SMF12,5716.72,USD,transfer,online,AU,AU,False,,
T-000208,2025-03-21 15:06:00.000000,C-N0045,C-N0130,5184.63,USD,transfer,mobile,DE,US,True,,
T-000209,2025-01-22 19:47:00.000000,C-N0154,C-N0042,6118.57,USD,transfer,mobile,US,JP,True,,
T-000210,2025-02-02 03:25:00.000000,C-LAY13,C-N0170,7313.63,USD,withdrawal,branch,CA,AU,True,,
T-000211,2025-02-25 04:59:00.000000,C-N0054,C-N0151,8242.41,USD,deposit,atm,US,CA,True,,
T-000212,2025-02-20 14:59:00.000000,C-LAY24,C-N0197,2442.05,USD,transfer,online,DE,US,True,,
T-000213,2025-02-14 09:03:00.000000,C-N0086,C-HUB02,2481.71,USD,transfer,online,SG,CA,True,,
T-000214,2025-02-24 14:37:00.000000,C-LAY21,C-N0007,14936.28,USD,deposit,online,JP,US,True,,
T-000215,2025-01-11 12:08:00.000000,C-N0083,C-N0007,13146.29,USD,deposit,online,GB,CA,True,,
T-000216,2025-02-11 11:32:00.000000,C-N0042,C-N0165,11640.8,USD,transfer,online,US,US,False,,
T-000217,2025-01-25 05:19:00.000000,C-N0171,C-N0121,1368.7,USD,deposit,branch,JP,FR,True,,
T-000218,2025-03-05 18:09:00.000000,C-SMF08,C-N0011,4219.59,USD,transfer,mobile,SG,US,True,,
T-000219,2025-02-24 14:32:00.000000,C-N0117,C-RCO05,12547.77,USD,transfer,online,DE,US,True,,
T-000220,2025-01-25 04:02:00.000000,C-N0109,C-LAY17,736.85,USD,transfer,mobile,AU,US,True,,
T-000221,2025-02-15 08:05:00.000000,C-N0134,C-N0087,2169.85,USD,transfer,online,AU,JP,True,,
T-000222,2025-03-11 03:25:00.000000,C-N0040,C-N0127,5634.7,USD,deposit,atm,GB,JP,True,,
T-000223,2025-03-20 10:41:00.000000,C-N0041,C-N0133,248.9,USD,deposit,atm,JP,GB,True,,
T-000224,2025-02-26 19:01:00.000000,C-LAY13,C-N0171,3180.27,USD,withdrawal,atm,SG,FR,True,,
T-000225,2025-02-15 15:46:00.000000,C-N0053,C-N0022,10938.82,USD,withdrawal,atm,AU,DE,True,,
T-000226,2025-03-17 03:47:00.000000,C-SMF03,C-N0145,4021.39,USD,transfer,mobile,JP,US,True,,
T-000227,2025-03-13 21:10:00.000000,C-STR02,C-N0032,13842.04,USD,deposit,branch,FR,CA,True,,
T-000228,2025-03-01 22:41:00.000000,C-N0188,C-N0183,632.19,USD,deposit,branch,AU,GB,True,,
T-000229,2025-01-15 06:14:00.000000,C-N0163,C-RCO03,12568.2,USD,withdrawal,atm,JP,FR,True,,
T-000230,2025-02-21 10:16:00.000000,C-SMF10,C-N0153,5937.26,USD,deposit,atm,JP,US,True,,
T-000231,2025-03-26 10:16:00.000000,C-HUB01,C-N0123,5250.41,USD,deposit,online,GB,FR,True,,
T-000232,2025-02-02 06:54:00.000000,C-LAY06,C-SMF19,10010.52,USD,transfer,mobile,CA,FR,True,,
T-000233,2025-03-31 04:48:00.000000,C-N0100,C-LAY09,12118.76,USD,transfer,mobile,JP,GB,True,,
T-000234,2025-01-29 17:58:00.000000,C-N0055,C-N0176,3782.98,USD,withdrawal,atm,FR,US,True,,
T-000235,2025-02-10 03:36:00.000000,C-N0007,C-N0140,10970.18,USD,transfer,mobile,GB,DE,True,,
